model,topics,c_v,uniqueness,interpretation_quality,notes
LDA,6,0.4789,0.583,Weak,Broad-to-moderate thematic groupings
NMF (TF-IDF),6,0.5286,0.783,Moderate,Alternative baseline; often sharper lexical boundaries
